sentenca_a	sentenca_b	conflito
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
Competition fraud is prohibited.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	yes
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, offered bribe for a public agent in Exchange of tax fine exemption.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Everyone must be treated with equality and transparency.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
A work team leader cannot abuse their powers or authority.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
All work team members must have equal opportunities.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Workplace haressment is prohibited.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Competition fraud is prohibited.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	yes
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, pays a judge $1000,00 meal after the company favorable judicial decision	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, uses his company badge to preserve personal interest before de state.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, uses his company badge to preserve personal interest before de state.	no
Everyone must be treated with equality and transparency.	A, employee, uses his company badge to preserve personal interest before de state.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, uses his company badge to preserve personal interest before de state.	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, uses his company badge to preserve personal interest before de state.	no
A work team leader cannot abuse their powers or authority.	A, employee, uses his company badge to preserve personal interest before de state.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, uses his company badge to preserve personal interest before de state.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, uses his company badge to preserve personal interest before de state.	no
All work team members must have equal opportunities.	A, employee, uses his company badge to preserve personal interest before de state.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, uses his company badge to preserve personal interest before de state.	no
Workplace haressment is prohibited.	A, employee, uses his company badge to preserve personal interest before de state.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, uses his company badge to preserve personal interest before de state.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, uses his company badge to preserve personal interest before de state.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, uses his company badge to preserve personal interest before de state.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, uses his company badge to preserve personal interest before de state.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, uses his company badge to preserve personal interest before de state.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, uses his company badge to preserve personal interest before de state.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, uses his company badge to preserve personal interest before de state.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, uses his company badge to preserve personal interest before de state.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, uses his company badge to preserve personal interest before de state.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, uses his company badge to preserve personal interest before de state.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, uses his company badge to preserve personal interest before de state.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, uses his company badge to preserve personal interest before de state.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, uses his company badge to preserve personal interest before de state.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, uses his company badge to preserve personal interest before de state.	no
Competition fraud is prohibited.	A, employee, uses his company badge to preserve personal interest before de state.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, uses his company badge to preserve personal interest before de state.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, uses his company badge to preserve personal interest before de state.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, uses his company badge to preserve personal interest before de state.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, uses his company badge to preserve personal interest before de state.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, uses his company badge to preserve personal interest before de state.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, uses his company badge to preserve personal interest before de state.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, uses his company badge to preserve personal interest before de state.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, uses his company badge to preserve personal interest before de state.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, uses his company badge to preserve personal interest before de state.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, uses his company badge to preserve personal interest before de state.	yes
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, uses his company badge to preserve personal interest before de state.	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, uses his company badge to preserve personal interest before de state.	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, uses his company badge to preserve personal interest before de state.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Everyone must be treated with equality and transparency.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
A work team leader cannot abuse their powers or authority.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
All work team members must have equal opportunities.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Workplace haressment is prohibited.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	yes
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Competition fraud is prohibited.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	yes
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, uses confidential information, obtained from his work, to blackmail the company owners.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Everyone must be treated with equality and transparency.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
A work team leader cannot abuse their powers or authority.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
All work team members must have equal opportunities.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Workplace haressment is prohibited.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Competition fraud is prohibited.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	yes
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, Works for a competitor using the knowledge acquired in his work at the company.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Everyone must be treated with equality and transparency.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
A work team leader cannot abuse their powers or authority.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
All work team members must have equal opportunities.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Workplace haressment is prohibited.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
Competition fraud is prohibited.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	yes
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, leaked confidential information to a competing company that patented a product that was under development at the company.	no
